nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2020-03-19
1.0,1.0,1.0,0.0,2020-03-20
1.0,1.0,1.0,0.0,2020-03-23
1.0,1.0,1.0,0.0,2020-03-24
1.0,1.0,1.0,0.0,2020-03-25
1.0,1.0,1.0,0.0,2020-03-26
1.0,1.0,1.0,0.0,2020-03-27
0.9999,0.9999,0.9999,-0.0001,2020-03-30
0.9999,0.9999,0.9999,0.0,2020-03-31
0.9999,0.9999,0.9999,0.0,2020-04-01
0.9999,0.9999,0.9999,0.0,2020-04-02
0.9999,0.9999,0.9999,0.0,2020-04-03
0.9996,0.9996,0.9996,-0.00030003,2020-04-07
0.9996,0.9996,0.9996,0.0,2020-04-08
0.9996,0.9996,0.9996,0.0,2020-04-09
0.9996,0.9996,0.9996,0.0,2020-04-10
0.9995,0.9995,0.9995,-0.00010004,2020-04-13
0.9995,0.9995,0.9995,0.0,2020-04-14
0.9995,0.9995,0.9995,0.0,2020-04-15
0.9994,0.9994,0.9994,-0.00010005,2020-04-16
0.9994,0.9994,0.9994,0.0,2020-04-17
0.9994,0.9994,0.9994,0.0,2020-04-20
0.9993,0.9993,0.9993,-0.00010006,2020-04-21
0.9993,0.9993,0.9993,0.0,2020-04-22
0.9993,0.9993,0.9993,0.0,2020-04-23
0.9993,0.9993,0.9993,0.0,2020-04-24
0.9992,0.9992,0.9992,-0.00010007,2020-04-27
0.9992,0.9992,0.9992,0.0,2020-04-28
0.9992,0.9992,0.9992,0.0,2020-04-29
0.9994,0.9994,0.9994,0.0002001601,2020-04-30
0.9993,0.9993,0.9993,-0.00010006,2020-05-06
0.9993,0.9993,0.9993,0.0,2020-05-07
0.9993,0.9993,0.9993,0.0,2020-05-08
0.9992,0.9992,0.9992,-0.00010007,2020-05-11
0.9992,0.9992,0.9992,0.0,2020-05-12
0.9992,0.9992,0.9992,0.0,2020-05-13
0.999,0.999,0.999,-0.0002001601,2020-05-14
