nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2022-06-28
1.0,1.0,1.0,0.0,2022-07-01
1.0,1.0,1.0,0.0,2022-07-08
1.0,1.0,1.0,0.0,2022-07-15
1.0,1.0,1.0,0.0,2022-07-22
1.0,1.0,1.0,0.0,2022-07-29
1.0,1.0,1.0,0.0,2022-08-05
1.0,1.0,1.0,0.0,2022-08-12
1.001,1.001,1.001,0.001,2022-08-19
1.001,1.001,1.001,0.0,2022-08-26
1.001,1.001,1.001,0.0,2022-09-02
1.001,1.001,1.001,0.0,2022-09-09
1.001,1.001,1.001,0.0,2022-09-16
1.001,1.001,1.001,0.0,2022-09-23
1.001,1.001,1.001,0.0,2022-09-30
1.002,1.002,1.002,0.000999001,2022-10-14
1.002,1.002,1.002,0.0,2022-10-21
1.002,1.002,1.002,0.0,2022-10-28
1.002,1.002,1.002,0.0,2022-11-04
1.002,1.002,1.002,0.0,2022-11-11
1.002,1.002,1.002,0.0,2022-11-14
1.002,1.002,1.002,0.0,2022-11-15
1.002,1.002,1.002,0.0,2022-11-16
1.002,1.002,1.002,0.0,2022-11-17
1.002,1.002,1.002,0.0,2022-11-18
1.002,1.002,1.002,0.0,2022-11-21
1.002,1.002,1.002,0.0,2022-11-22
1.002,1.002,1.002,0.0,2022-11-23
1.002,1.002,1.002,0.0,2022-11-24
1.002,1.002,1.002,0.0,2022-11-25
1.002,1.002,1.002,0.0,2022-11-28
1.002,1.002,1.002,0.0,2022-11-29
1.002,1.002,1.002,0.0,2022-11-30
1.002,1.002,1.002,0.0,2022-12-02
1.002,1.002,1.002,0.0,2022-12-09
1.002,1.002,1.002,0.0,2022-12-12
1.002,1.002,1.002,0.0,2022-12-13
1.002,1.002,1.002,0.0,2022-12-14
1.002,1.002,1.002,0.0,2022-12-15
1.002,1.002,1.002,0.0,2022-12-16
1.003,1.003,1.003,0.000998004,2022-12-19
1.003,1.003,1.003,0.0,2022-12-20
1.003,1.003,1.003,0.0,2022-12-21
1.003,1.003,1.003,0.0,2022-12-22
1.003,1.003,1.003,0.0,2022-12-23
1.003,1.003,1.003,0.0,2022-12-26
1.003,1.003,1.003,0.0,2022-12-27
1.003,1.003,1.003,0.0,2022-12-28
1.003,1.003,1.003,0.0,2022-12-29
1.003,1.003,1.003,0.0,2022-12-30
1.003,1.003,1.003,0.0,2023-01-06
1.003,1.003,1.003,0.0,2023-01-13
1.004,1.004,1.004,0.000997009,2023-01-20
1.003,1.003,1.003,-0.0009960159,2023-02-03
1.003,1.003,1.003,0.0,2023-02-10
1.005,1.005,1.005,0.0019940179,2023-02-17
1.005,1.005,1.005,0.0,2023-02-24
1.005,1.005,1.005,0.0,2023-03-03
1.002,1.002,1.002,-0.0029850746,2023-03-10
1.003,1.003,1.003,0.000998004,2023-03-17
1.006,1.006,1.006,0.0029910269,2023-03-24
1.005,1.005,1.005,-0.0009940358,2023-03-31
1.018,1.018,1.018,0.0129353234,2023-04-07
1.022,1.022,1.022,0.0039292731,2023-04-14
1.007,1.007,1.007,-0.0146771037,2023-04-21
1.002,1.002,1.002,-0.0049652433,2023-04-28
1.0,1.0,1.0,-0.001996008,2023-05-05
0.991,0.991,0.991,-0.009,2023-05-12
0.991,0.991,0.991,0.0,2023-05-19
0.991,0.991,0.991,0.0,2023-05-26
0.991,0.991,0.991,0.0,2023-06-02
0.991,0.991,0.991,0.0,2023-06-09
0.992,0.992,0.992,0.0010090817,2023-06-16
0.991,0.991,0.991,-0.0010080645,2023-06-21
0.991,0.991,0.991,0.0,2023-06-30
0.991,0.991,0.991,0.0,2023-07-07
0.991,0.991,0.991,0.0,2023-07-14
0.991,0.991,0.991,0.0,2023-07-21
0.991,0.991,0.991,0.0,2023-07-28
0.989,0.989,0.989,-0.0020181635,2023-08-04
0.988,0.988,0.988,-0.0010111223,2023-08-11
0.987,0.987,0.987,-0.0010121457,2023-08-18
0.987,0.987,0.987,0.0,2023-08-25
0.986,0.986,0.986,-0.0010131712,2023-09-01
0.986,0.986,0.986,0.0,2023-09-08
0.985,0.985,0.985,-0.0010141988,2023-09-15
0.985,0.985,0.985,0.0,2023-09-22
0.984,0.984,0.984,-0.0010152284,2023-09-28
0.987,0.987,0.987,0.0030487805,2023-10-13
0.988,0.988,0.988,0.0010131712,2023-10-20
0.99,0.99,0.99,0.0020242915,2023-10-27
0.988,0.988,0.988,-0.002020202,2023-11-03
0.993,0.993,0.993,0.0050607287,2023-11-10
1.001,1.001,1.001,0.0080563948,2023-11-17
0.991,0.991,0.991,-0.00999001,2023-11-24
0.991,0.991,0.991,0.0,2023-12-01
0.982,0.982,0.982,-0.0090817356,2023-12-08
0.982,0.982,0.982,0.0,2023-12-15
0.976,0.976,0.976,-0.0061099796,2023-12-22
0.978,0.978,0.978,0.0020491803,2023-12-29
0.973,0.973,0.973,-0.0051124744,2024-01-05
0.97,0.97,0.97,-0.0030832477,2024-01-12
0.969,0.969,0.969,-0.0010309278,2024-01-19
0.969,0.969,0.969,0.0,2024-01-26
0.969,0.969,0.969,0.0,2024-02-02
0.971,0.971,0.971,0.0020639835,2024-02-08
0.972,0.972,0.972,0.0010298661,2024-02-23
0.978,0.978,0.978,0.0061728395,2024-03-01
0.985,0.985,0.985,0.0071574642,2024-03-08
0.982,0.982,0.982,-0.0030456853,2024-03-15
0.975,0.975,0.975,-0.0071283096,2024-03-22
0.973,0.973,0.973,-0.0020512821,2024-03-29
0.971,0.971,0.971,-0.0020554985,2024-04-03
0.964,0.964,0.964,-0.0072090628,2024-04-12
0.963,0.963,0.963,-0.0010373444,2024-04-19
0.973,0.973,0.973,0.010384216,2024-04-26
0.972,0.972,0.972,-0.0010277492,2024-04-30
0.971,0.971,0.971,-0.0010288066,2024-05-10
0.977,0.977,0.977,0.0061791967,2024-05-17
0.959,0.959,0.959,-0.0184237462,2024-05-24
0.952,0.952,0.952,-0.0072992701,2024-05-31
0.959,0.959,0.959,0.0073529412,2024-06-07
0.958,0.958,0.958,-0.0010427529,2024-06-14
0.958,0.958,0.958,0.0,2024-06-21
0.954,0.954,0.954,-0.0041753653,2024-06-28
0.954,0.954,0.954,0.0,2024-07-05
0.959,0.959,0.959,0.0052410901,2024-07-12
0.949,0.949,0.949,-0.0104275287,2024-07-19
0.945,0.945,0.945,-0.0042149631,2024-07-26
0.947,0.947,0.947,0.0021164021,2024-07-31
0.944,0.944,0.944,-0.0031678986,2024-08-02
0.943,0.943,0.943,-0.001059322,2024-08-09
0.943,0.943,0.943,0.0,2024-08-16
0.942,0.942,0.942,-0.0010604454,2024-08-23
0.942,0.942,0.942,0.0,2024-08-30
0.941,0.941,0.941,-0.0010615711,2024-09-06
0.94,0.94,0.94,-0.0010626993,2024-09-13
0.942,0.942,0.942,0.0021276596,2024-09-20
0.989,0.989,0.989,0.0498938429,2024-09-27
1.028,1.028,1.028,0.0394337715,2024-09-30
1.038,1.038,1.038,0.0097276265,2024-10-11
1.055,1.055,1.055,0.0163776493,2024-10-18
1.083,1.083,1.083,0.0265402844,2024-10-25
1.116,1.116,1.116,0.0304709141,2024-10-31
1.089,1.089,1.089,-0.0241935484,2024-11-01
1.165,1.165,1.165,0.0697887971,2024-11-08
1.103,1.103,1.103,-0.0532188841,2024-11-15
1.065,1.065,1.065,-0.0344514959,2024-11-22
1.068,1.068,1.068,0.0028169014,2024-11-29
1.07,1.07,1.07,0.0018726592,2024-12-06
1.055,1.055,1.055,-0.0140186916,2024-12-13
1.049,1.049,1.049,-0.0056872038,2024-12-20
1.041,1.041,1.041,-0.0076263108,2024-12-27
1.023,1.023,1.023,-0.0172910663,2024-12-31
1.011,1.011,1.011,-0.0117302053,2025-01-03
1.007,1.007,1.007,-0.0039564787,2025-01-10
1.012,1.012,1.012,0.0049652433,2025-01-17
1.023,1.023,1.023,0.0108695652,2025-01-24
1.02,1.02,1.02,-0.0029325513,2025-01-27
1.073,1.073,1.073,0.0519607843,2025-02-07
1.116,1.116,1.116,0.0400745573,2025-02-14
1.212,1.212,1.212,0.0860215054,2025-02-21
1.151,1.151,1.151,-0.050330033,2025-02-28
1.149,1.149,1.149,-0.0017376195,2025-03-07
1.147,1.147,1.147,-0.001740644,2025-03-14
1.141,1.141,1.141,-0.0052310375,2025-03-21
1.141,1.141,1.141,0.0,2025-03-28
1.141,1.141,1.141,0.0,2025-03-31
1.14,1.14,1.14,-0.0008764242,2025-04-03
1.14,1.14,1.14,0.0,2025-04-11
1.14,1.14,1.14,0.0,2025-04-18
1.14,1.14,1.14,0.0,2025-04-25
1.14,1.14,1.14,0.0,2025-04-30
1.14,1.14,1.14,0.0,2025-05-09
1.138,1.138,1.138,-0.001754386,2025-05-16
1.136,1.136,1.136,-0.0017574692,2025-05-23
1.136,1.136,1.136,0.0,2025-05-30
1.136,1.136,1.136,0.0,2025-06-06
1.132,1.132,1.132,-0.0035211268,2025-06-13
1.132,1.132,1.132,0.0,2025-06-20
1.13,1.13,1.13,-0.0017667845,2025-06-27
1.131,1.131,1.131,0.0008849558,2025-06-30
1.129,1.129,1.129,-0.0017683466,2025-07-04
1.142,1.142,1.142,0.0115146147,2025-07-11
1.167,1.167,1.167,0.0218914186,2025-07-18
1.183,1.183,1.183,0.0137103685,2025-07-25
1.163,1.163,1.163,-0.0169061708,2025-07-31
1.156,1.156,1.156,-0.0060189166,2025-08-01
1.152,1.152,1.152,-0.0034602076,2025-08-08
1.195,1.195,1.195,0.0373263889,2025-08-15
1.282,1.282,1.282,0.0728033473,2025-08-22
1.345,1.345,1.345,0.0491419657,2025-08-29
1.276,1.276,1.276,-0.0513011152,2025-09-05
1.29,1.29,1.29,0.0109717868,2025-09-12
1.296,1.296,1.296,0.0046511628,2025-09-19
1.331,1.331,1.331,0.0270061728,2025-09-26
1.364,1.364,1.364,0.0247933884,2025-09-30
1.354,1.354,1.354,-0.0073313783,2025-10-10
1.296,1.296,1.296,-0.0428360414,2025-10-17
1.326,1.326,1.326,0.0231481481,2025-10-24
1.312,1.312,1.312,-0.0105580694,2025-10-31
1.302,1.302,1.302,-0.0076219512,2025-11-07
1.289,1.289,1.289,-0.009984639,2025-11-14
1.274,1.274,1.274,-0.0116369279,2025-11-21
1.297,1.297,1.297,0.0180533752,2025-11-28
1.3,1.3,1.3,0.0023130301,2025-12-05
1.302,1.302,1.302,0.0015384615,2025-12-12
1.297,1.297,1.297,-0.0038402458,2025-12-19
1.0,1.3,1.3,0.0023130301,2025-12-26
0.997,1.297,1.2961,-0.003,2025-12-31
0.996,1.296,1.2948,-0.001003009,2026-01-09
1.002,1.302,1.3026,0.0060240964,2026-01-16
0.998,1.298,1.2974,-0.003992016,2026-01-23
0.983,1.283,1.2779,-0.0150300601,2026-01-30
0.968,1.268,1.2584,-0.01525941,2026-02-06
0.962,1.262,1.2506,-0.0061983471,2026-02-13
0.958,1.258,1.2454,-0.0041580042,2026-02-27
