nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2024-08-16
1.0,1.0,1.0,0.0,2024-08-23
1.0,1.0,1.0,0.0,2024-08-30
1.0,1.0,1.0,0.0,2024-09-06
1.0,1.0,1.0,0.0,2024-09-13
1.0,1.0,1.0,0.0,2024-09-20
1.0,1.0,1.0,0.0,2024-09-27
1.0,1.0,1.0,0.0,2024-09-30
1.0,1.0,1.0,0.0,2024-10-11
1.0,1.0,1.0,0.0,2024-10-18
1.0,1.0,1.0,0.0,2024-10-25
1.0,1.0,1.0,0.0,2024-10-31
1.0,1.0,1.0,0.0,2024-11-01
1.0,1.0,1.0,0.0,2024-11-08
1.0,1.0,1.0,0.0,2024-11-15
1.0,1.0,1.0,0.0,2024-11-22
1.0,1.0,1.0,0.0,2024-11-29
1.0,1.0,1.0,0.0,2024-12-06
1.0,1.0,1.0,0.0,2024-12-13
1.0,1.0,1.0,0.0,2024-12-20
1.0,1.0,1.0,0.0,2024-12-27
1.0,1.0,1.0,0.0,2024-12-31
1.0,1.0,1.0,0.0,2025-01-03
1.0,1.0,1.0,0.0,2025-01-10
1.0,1.0,1.0,0.0,2025-01-17
1.0,1.0,1.0,0.0,2025-01-24
1.0,1.0,1.0,0.0,2025-01-27
1.0,1.0,1.0,0.0,2025-02-07
1.0,1.0,1.0,0.0,2025-02-14
1.0,1.0,1.0,0.0,2025-02-21
1.0,1.0,1.0,0.0,2025-02-28
1.0,1.0,1.0,0.0,2025-03-07
1.0,1.0,1.0,0.0,2025-03-14
1.0,1.0,1.0,0.0,2025-03-21
1.0,1.0,1.0,0.0,2025-03-28
1.0,1.0,1.0,0.0,2025-03-31
1.0,1.0,1.0,0.0,2025-04-03
1.0,1.0,1.0,0.0,2025-04-11
1.0,1.0,1.0,0.0,2025-04-18
1.0,1.0,1.0,0.0,2025-04-25
1.0,1.0,1.0,0.0,2025-04-30
1.0,1.0,1.0,0.0,2025-05-09
1.0,1.0,1.0,0.0,2025-05-16
1.0,1.0,1.0,0.0,2025-05-23
1.0,1.0,1.0,0.0,2025-05-30
1.0,1.0,1.0,0.0,2025-06-06
1.0,1.0,1.0,0.0,2025-06-13
1.0,1.0,1.0,0.0,2025-06-20
1.0,1.0,1.0,0.0,2025-06-27
1.0,1.0,1.0,0.0,2025-06-30
1.0,1.0,1.0,0.0,2025-07-04
1.0,1.0,1.0,0.0,2025-07-11
1.0,1.0,1.0,0.0,2025-07-18
1.0,1.0,1.0,0.0,2025-07-25
1.0,1.0,1.0,0.0,2025-07-31
1.0,1.0,1.0,0.0,2025-08-01
1.0,1.0,1.0,0.0,2025-08-08
1.0,1.0,1.0,0.0,2025-08-15
1.0,1.0,1.0,0.0,2025-08-22
1.0,1.0,1.0,0.0,2025-08-29
1.0,1.0,1.0,0.0,2025-09-05
1.0707,1.0707,1.0707,0.0707,2025-09-08
1.0898,1.0898,1.0898,0.017838797,2025-09-12
1.0871,1.0871,1.0871,-0.0024775188,2025-09-19
1.0978,1.0978,1.0978,0.0098427008,2025-09-26
1.1192,1.1192,1.1192,0.0194935325,2025-09-30
1.1152,1.1152,1.1152,-0.0035739814,2025-10-10
1.0763,1.0763,1.0763,-0.0348816356,2025-10-17
1.1098,1.1098,1.1098,0.031125151,2025-10-24
1.1116,1.1116,1.1116,0.0016219139,2025-10-31
1.1146,1.1146,1.1146,0.0026988125,2025-11-07
1.1069,1.1069,1.1069,-0.0069083079,2025-11-14
1.059,1.059,1.059,-0.0432740085,2025-11-21
1.0832,1.0832,1.0832,0.0228517469,2025-11-28
1.0955,1.0955,1.0955,0.0113552437,2025-12-05
1.0991,1.0991,1.0991,0.0032861707,2025-12-12
1.097,1.097,1.097,-0.0019106542,2025-12-19
1.1322,1.1322,1.1322,0.0320875114,2025-12-26
1.1287,1.1287,1.1287,-0.0030913266,2025-12-31
1.2062,1.2062,1.2062,0.0686630637,2026-01-09
1.2182,1.2182,1.2182,0.0099485989,2026-01-16
1.257,1.257,1.257,0.0318502709,2026-01-23
1.2341,1.2341,1.2341,-0.0182179793,2026-01-30
1.2086,1.2086,1.2086,-0.0206628312,2026-02-06
1.2203,1.2203,1.2203,0.0096806222,2026-02-13
1.262,1.262,1.262,0.0341719249,2026-02-27
1.2137,1.2137,1.2137,-0.0382725832,2026-03-06
1.2102,1.2102,1.2102,-0.0028837439,2026-03-13
1.1762,1.1762,1.1762,-0.0280945298,2026-03-20
1.1621,1.1621,1.1621,-0.0119877572,2026-03-27
1.1443,1.1443,1.1443,-0.0153170984,2026-03-31
1.135,1.135,1.135,-0.0081272394,2026-04-03
1.2061,1.2061,1.2061,0.0626431718,2026-04-10
1.2704,1.2704,1.2704,0.053312329,2026-04-17
1.2784,1.2784,1.2784,0.0062972292,2026-04-24
1.2865,1.2865,1.2865,0.0063360451,2026-04-30
1.3309,1.3309,1.3309,0.0345122425,2026-05-08
1.3163,1.3163,1.3163,-0.0109700203,2026-05-15
1.3161,1.3161,1.3161,-0.000151941,2026-05-22
