nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2022-02-09
1.0,1.0,1.0,0.0,2022-02-10
1.0,1.0,1.0,0.0,2022-02-11
1.0001,1.0001,1.0001,0.0001,2022-02-14
0.9994,0.9994,0.9994,-0.00069993,2022-02-15
0.9994,0.9994,0.9994,0.0,2022-02-16
0.9994,0.9994,0.9994,0.0,2022-02-17
0.9994,0.9994,0.9994,0.0,2022-02-18
0.9995,0.9995,0.9995,0.00010006,2022-02-21
0.9995,0.9995,0.9995,0.0,2022-02-22
0.9995,0.9995,0.9995,0.0,2022-02-23
0.9994,0.9994,0.9994,-0.00010005,2022-02-24
0.9994,0.9994,0.9994,0.0,2022-02-25
0.9995,0.9995,0.9995,0.00010006,2022-02-28
0.9995,0.9995,0.9995,0.0,2022-03-01
1.0022,1.0022,1.0022,0.0027013507,2022-03-02
1.0035,1.0035,1.0035,0.0012971463,2022-03-03
1.0034,1.0034,1.0034,-9.96512e-05,2022-03-04
1.0039,1.0039,1.0039,0.0004983058,2022-03-07
1.0037,1.0037,1.0037,-0.000199223,2022-03-08
1.004,1.004,1.004,0.0002988941,2022-03-09
1.0035,1.0035,1.0035,-0.000498008,2022-03-10
1.0033,1.0033,1.0033,-0.0001993024,2022-03-11
1.0,1.0039,1.0039,0.0005980265,2022-03-14
1.0003,1.0042,1.00420117,0.0003,2022-03-15
1.0006,1.0045,1.00450234,0.00029991,2022-03-16
1.0006,1.0045,1.00450234,0.0,2022-03-17
1.0007,1.0046,1.00460273,9.994e-05,2022-03-18
1.0009,1.0048,1.00480351,0.0001998601,2022-03-21
1.0006,1.0045,1.00450234,-0.0002997302,2022-03-22
1.0007,1.0046,1.00460273,9.994e-05,2022-03-23
1.0008,1.0047,1.00470312,9.993e-05,2022-03-24
1.0012,1.0051,1.00510468,0.0003996803,2022-03-25
1.0018,1.0057,1.00570702,0.0005992809,2022-03-28
1.002,1.0059,1.0059078,0.0001996406,2022-03-29
1.0023,1.0062,1.00620897,0.0002994012,2022-03-30
1.0027,1.0066,1.00661053,0.0003990821,2022-03-31
1.003,1.0069,1.0069117,0.0002991922,2022-04-01
1.004,1.0079,1.0079156,0.000997009,2022-04-06
1.0043,1.0082,1.00821677,0.0002988048,2022-04-07
1.0047,1.0086,1.00861833,0.0003982874,2022-04-08
1.0054,1.0093,1.00932106,0.0006967254,2022-04-11
1.0055,1.0094,1.00942145,9.94629e-05,2022-04-12
1.0,1.0088,1.00881911,-0.0005967181,2022-04-13
0.9996,1.0084,1.00841558,-0.0004,2022-04-14
0.9998,1.0086,1.00861735,0.00020008,2022-04-15
1.0003,1.0091,1.00912176,0.0005001,2022-04-18
1.0004,1.0092,1.00922264,9.997e-05,2022-04-19
1.0006,1.0094,1.0094244,0.00019992,2022-04-20
1.0006,1.0094,1.0094244,0.0,2022-04-21
1.0007,1.0095,1.00952528,9.994e-05,2022-04-22
1.0011,1.0099,1.00992881,0.0003997202,2022-04-25
1.0008,1.0096,1.00962617,-0.0002996704,2022-04-26
1.001,1.0098,1.00982793,0.0001998401,2022-04-27
1.0011,1.0099,1.00992881,9.99001e-05,2022-04-28
1.0012,1.01,1.01002969,9.98901e-05,2022-04-29
1.0025,1.0113,1.01134116,0.0012984419,2022-05-05
1.0026,1.0114,1.01144204,9.97506e-05,2022-05-06
1.0034,1.0122,1.01224909,0.0007979254,2022-05-09
1.0038,1.0126,1.01265262,0.0003986446,2022-05-10
1.0053,1.0141,1.01416585,0.0014943216,2022-05-11
1.0057,1.0145,1.01456938,0.0003978912,2022-05-12
1.0,1.0149,1.01497291,0.0003977329,2022-05-13
1.0007,1.0156,1.01568339,0.0007,2022-05-16
1.001,1.0159,1.01598788,0.0002997901,2022-05-17
1.0016,1.0165,1.01659686,0.0005994006,2022-05-18
1.002,1.0169,1.01700285,0.000399361,2022-05-19
1.0024,1.0173,1.01740884,0.0003992016,2022-05-20
1.0031,1.018,1.01811932,0.000698324,2022-05-23
1.0034,1.0183,1.01842381,0.0002990729,2022-05-24
1.0038,1.0187,1.0188298,0.0003986446,2022-05-25
1.0042,1.0191,1.01923579,0.0003984858,2022-05-26
1.0044,1.0193,1.01943879,0.0001991635,2022-05-27
1.0051,1.02,1.02014927,0.0006969335,2022-05-30
1.0049,1.0198,1.01994627,-0.0001989852,2022-05-31
1.0042,1.019,1.0191343,-0.0007960991,2022-06-02
1.0054,1.0203,1.02045363,0.0012945628,2022-06-10
1.0,1.0209,1.02106261,0.0005967774,2022-06-13
0.9995,1.0203,1.02044997,-0.0006,2022-06-17
1.0003,1.0211,1.02126674,0.0008004002,2022-06-24
1.0018,1.0227,1.02290028,0.0015995201,2022-07-01
1.0034,1.0243,1.02453398,0.0015971252,2022-07-08
1.0009,1.0275,1.02780138,0.0031891569,2022-07-15
1.0038,1.0303,1.03067664,0.0027974823,2022-07-22
1.0063,1.0329,1.03334625,0.0025901574,2022-07-29
1.009,1.0355,1.03601613,0.0025837225,2022-08-05
1.012,1.0386,1.03919913,0.0030723489,2022-08-12
1.003,1.0416,1.04227976,0.0029644269,2022-08-19
1.002,1.0405,1.04113668,-0.0010967099,2022-08-26
1.002,1.0407,1.0413445,0.0001996008,2022-09-02
1.0035,1.0421,1.04279947,0.0013972056,2022-09-09
0.9989,1.0421,1.04279947,0.0,2022-09-16
0.9984,1.0434,1.0441566,0.0013014316,2022-09-23
0.9978,1.0429,1.04363369,-0.0005008013,2022-09-30
1.001,1.046,1.04687608,0.003106835,2022-10-14
1.0012,1.0479,1.04886316,0.0018981019,2022-10-21
1.0023,1.049,1.05001553,0.0010986816,2022-10-28
1.0034,1.0502,1.05127265,0.0011972463,2022-11-04
1.0037,1.0505,1.05158697,0.0002989835,2022-11-11
0.9981,1.0487,1.04970109,-0.0017933646,2022-11-18
1.0004,1.0511,1.05222517,0.0024045687,2022-11-25
0.9992,1.0499,1.050963,-0.0011995202,2022-12-02
1.0011,1.0518,1.05296143,0.0019015212,2022-12-09
1.005,1.0587,1.06021888,0.0068924183,2022-12-16
1.0058,1.0595,1.06106284,0.0007960199,2022-12-19
1.0064,1.06,1.06159031,0.0004971167,2022-12-20
1.0062,1.0598,1.06137934,-0.0001987281,2022-12-21
1.0073,1.061,1.06264515,0.0011926058,2022-12-22
1.0083,1.0619,1.0635946,0.0008934776,2022-12-23
1.0096,1.0633,1.06507137,0.0013884757,2022-12-26
1.01,1.0637,1.06549335,0.0003961965,2022-12-27
1.01,1.0637,1.06549335,0.0,2022-12-28
1.0106,1.0643,1.06612632,0.0005940594,2022-12-29
1.011,1.0646,1.0664428,0.0002968534,2022-12-30
1.0118,1.0655,1.06739216,0.0008902077,2023-01-03
1.0139,1.0676,1.06960754,0.002075509,2023-01-04
1.0146,1.0683,1.070346,0.0006904034,2023-01-05
1.0158,1.0695,1.07161193,0.0011827321,2023-01-06
1.0174,1.0711,1.07329984,0.0015751132,2023-01-09
1.0161,1.0698,1.07192841,-0.0012777669,2023-01-10
1.0158,1.0695,1.07161193,-0.0002952465,2023-01-11
1.0158,1.0695,1.07161193,0.0,2023-01-12
1.0124,1.0711,1.07329984,0.0015751132,2023-01-13
1.0135,1.0722,1.07446601,0.0010865271,2023-01-16
1.0139,1.0726,1.07489007,0.0003946719,2023-01-17
1.0146,1.0733,1.07563218,0.0006904034,2023-01-18
1.0155,1.0742,1.07658632,0.0008870491,2023-01-19
1.0159,1.0746,1.07701038,0.0003938946,2023-01-20
1.0186,1.0773,1.0798728,0.0026577419,2023-01-30
1.0185,1.0771,1.07966076,-0.0001963479,2023-01-31
1.0188,1.0775,1.08008478,0.0003927344,2023-02-01
1.0192,1.0779,1.08050885,0.0003926188,2023-02-02
1.0197,1.0783,1.08093291,0.0003924647,2023-02-03
1.0209,1.0796,1.08231097,0.0012748848,2023-02-06
1.0205,1.0792,1.08188691,-0.0003918111,2023-02-07
1.021,1.0797,1.08241699,0.0004899559,2023-02-08
1.0214,1.0801,1.08284105,0.0003917728,2023-02-09
1.0217,1.0804,1.0831591,0.0002937145,2023-02-10
1.0232,1.0818,1.08464331,0.0013702652,2023-02-13
1.0175,1.0822,1.08506733,0.0003909304,2023-02-14
1.0171,1.0818,1.08464077,-0.0003931204,2023-02-15
1.0173,1.082,1.08485405,0.0001966375,2023-02-16
1.0175,1.0822,1.08506733,0.0001965988,2023-02-17
1.0183,1.083,1.08592046,0.0007862408,2023-02-20
1.0182,1.0828,1.08570717,-0.0001964058,2023-02-21
1.0188,1.0835,1.08645358,0.0006874877,2023-02-22
1.0187,1.0834,1.08634694,-9.81547e-05,2023-02-23
1.0192,1.0838,1.08677351,0.0003926573,2023-02-24
1.0215,1.0862,1.08933263,0.0023547881,2023-02-27
1.0207,1.0854,1.0884795,-0.000783162,2023-02-28
1.021,1.0857,1.08879942,0.0002939159,2023-03-01
1.0219,1.0865,1.08965255,0.0007835455,2023-03-02
1.0228,1.0875,1.09071885,0.0009785693,2023-03-03
1.0234,1.0881,1.09135869,0.000586625,2023-03-06
1.0233,1.088,1.09125205,-9.77135e-05,2023-03-07
1.0235,1.0882,1.09146533,0.0001954461,2023-03-08
1.0238,1.0884,1.09167861,0.0001954079,2023-03-09
1.0235,1.0882,1.09146535,-0.0001953507,2023-03-10
1.0241,1.0888,1.0921052,0.0005862237,2023-03-13
1.0243,1.089,1.09231848,0.0001952934,2023-03-14
1.0188,1.0894,1.09274504,0.0003905106,2023-03-15
1.0192,1.0899,1.09328133,0.0004907735,2023-03-16
1.0197,1.0904,1.09381767,0.0004905808,2023-03-17
1.0204,1.0911,1.09456855,0.0006864764,2023-03-20
1.0204,1.0911,1.09456855,0.0,2023-03-21
1.0193,1.09,1.0933886,-0.0010780086,2023-03-22
1.0195,1.0902,1.09360314,0.0001962131,2023-03-23
1.0197,1.0904,1.09381767,0.0001961746,2023-03-24
1.0203,1.0909,1.09435402,0.0004903403,2023-03-27
1.0204,1.0911,1.09456853,0.0001960208,2023-03-28
1.0206,1.0913,1.09478307,0.0001960016,2023-03-29
1.0208,1.0915,1.09499761,0.0001959632,2023-03-30
1.021,1.0917,1.09521214,0.0001959248,2023-03-31
1.0215,1.0922,1.09574849,0.000489716,2023-04-03
1.0217,1.0924,1.09596302,0.0001957905,2023-04-04
1.0221,1.0928,1.0963921,0.0003915044,2023-04-06
1.0223,1.093,1.09660663,0.0001956756,2023-04-07
1.0228,1.0935,1.09714298,0.0004890932,2023-04-10
1.023,1.0937,1.09735751,0.0001955417,2023-04-11
1.0232,1.0939,1.09757205,0.0001955034,2023-04-12
1.0234,1.0941,1.09778659,0.0001954652,2023-04-13
1.0176,1.0943,1.09800113,0.000195427,2023-04-14
1.0182,1.0949,1.09864853,0.0005896226,2023-04-17
1.0184,1.0951,1.09886433,0.0001964251,2023-04-18
1.0186,1.0953,1.09908014,0.0001963865,2023-04-19
1.0188,1.0955,1.09929594,0.0001963479,2023-04-20
1.019,1.0957,1.09951174,0.0001963094,2023-04-21
1.0195,1.0962,1.10005125,0.0004906771,2023-04-24
1.0197,1.0964,1.10026705,0.0001961746,2023-04-25
1.0199,1.0966,1.10048285,0.0001961361,2023-04-26
1.0201,1.0968,1.10069865,0.0001960977,2023-04-27
1.0203,1.097,1.10091445,0.0001960592,2023-04-28
1.0214,1.098,1.10199346,0.0009801039,2023-05-04
1.0215,1.0982,1.10220925,0.0001958097,2023-05-05
1.0219,1.0986,1.10264085,0.000391581,2023-05-08
1.022,1.0987,1.10274875,9.78569e-05,2023-05-09
1.0222,1.0989,1.10296455,0.0001956947,2023-05-10
1.0224,1.0991,1.10318036,0.0001956564,2023-05-11
1.0226,1.0993,1.10339616,0.0001956182,2023-05-12
1.0171,1.0998,1.10393566,0.0004889497,2023-05-15
1.0173,1.1,1.10415274,0.0001966375,2023-05-16
1.0175,1.1002,1.10436981,0.0001965988,2023-05-17
1.0177,1.1004,1.10458689,0.0001965602,2023-05-18
1.0179,1.1006,1.10480396,0.0001965216,2023-05-19
1.0184,1.1011,1.10534665,0.0004912074,2023-05-22
1.0185,1.1012,1.10545519,9.81932e-05,2023-05-23
1.0187,1.1014,1.10567226,0.0001963672,2023-05-24
1.0189,1.1016,1.10588934,0.0001963287,2023-05-25
1.0191,1.1017,1.10599788,9.81451e-05,2023-05-26
1.0196,1.1023,1.10664904,0.0005887548,2023-05-29
1.0198,1.1025,1.10686611,0.0001961554,2023-05-30
1.02,1.1027,1.10708319,0.0001961169,2023-05-31
1.0202,1.1029,1.10730026,0.0001960784,2023-06-01
1.0204,1.103,1.1074088,9.802e-05,2023-06-02
1.0209,1.1036,1.10805996,0.0005880047,2023-06-05
1.0211,1.1037,1.1081685,9.79528e-05,2023-06-06
1.0212,1.1039,1.10838555,0.0001958672,2023-06-07
1.0214,1.1041,1.10860263,0.000195848,2023-06-08
1.0216,1.1043,1.1088197,0.0001958097,2023-06-09
1.0222,1.1048,1.10936239,0.0004894283,2023-06-12
1.0163,1.111,1.11609106,0.0060653492,2023-06-13
1.0165,1.1052,1.10972156,-0.0057069763,2023-06-14
1.0167,1.1054,1.1099399,0.0001967536,2023-06-15
1.0169,1.1056,1.11015824,0.0001967149,2023-06-16
1.0174,1.1061,1.11070409,0.0004916904,2023-06-19
1.0176,1.1063,1.11092244,0.0001965795,2023-06-20
1.0178,1.1065,1.11114078,0.0001965409,2023-06-21
1.0186,1.1073,1.11201414,0.000786009,2023-06-26
1.0188,1.1075,1.11223249,0.0001963479,2023-06-27
1.019,1.1077,1.11245083,0.0001963094,2023-06-28
1.0192,1.1079,1.11266917,0.0001962709,2023-06-29
1.0194,1.108,1.11277834,9.81162e-05,2023-06-30
1.0199,1.1086,1.1134333,0.0005885815,2023-07-03
1.0201,1.1088,1.11365164,0.0001960977,2023-07-04
1.0203,1.109,1.11386998,0.0001960592,2023-07-05
1.0205,1.1092,1.11408833,0.0001960208,2023-07-06
1.0207,1.1093,1.1141975,9.79912e-05,2023-07-07
1.0212,1.1099,1.11485246,0.0005878319,2023-07-10
