nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2019-06-25
1.0,1.0,1.0,0.0,2019-06-26
1.0,1.0,1.0,0.0,2019-06-27
1.0,1.0,1.0,0.0,2019-06-28
1.0,1.0,1.0,0.0,2019-07-05
1.0,1.0,1.0,0.0,2019-07-08
1.045,1.045,1.045,0.045,2019-07-10
1.046,1.046,1.046,0.0009569378,2019-07-11
1.0,1.0,1.0,-0.0439770554,2019-07-12
1.0,1.0,1.0,0.0,2019-07-15
1.0,1.0,1.0,0.0,2019-07-16
1.0,1.0,1.0,0.0,2019-07-17
1.0,1.0,1.0,0.0,2019-07-18
1.0,1.0,1.0,0.0,2019-07-19
1.0,1.0,1.0,0.0,2019-07-22
1.0,1.0,1.0,0.0,2019-07-23
1.0,1.0,1.0,0.0,2019-07-24
1.0,1.0,1.0,0.0,2019-07-25
1.0,1.0,1.0,0.0,2019-07-26
1.0,1.0,1.0,0.0,2019-07-29
1.0,1.0,1.0,0.0,2019-07-30
1.0,1.0,1.0,0.0,2019-07-31
1.0,1.0,1.0,0.0,2019-08-02
1.0,1.0,1.0,0.0,2019-08-07
1.0,1.0,1.0,0.0,2019-08-08
1.0,1.0,1.0,0.0,2019-08-09
1.003,1.003,1.003,0.003,2019-08-13
1.002,1.002,1.002,-0.000997009,2019-08-14
1.002,1.002,1.002,0.0,2019-08-15
1.002,1.002,1.002,0.0,2019-08-16
1.008,1.008,1.008,0.005988024,2019-08-19
1.009,1.009,1.009,0.0009920635,2019-08-20
1.009,1.009,1.009,0.0,2019-08-21
1.007,1.007,1.007,-0.0019821606,2019-08-22
1.008,1.008,1.008,0.0009930487,2019-08-23
1.009,1.009,1.009,0.0009920635,2019-08-26
1.015,1.015,1.015,0.0059464817,2019-08-27
1.016,1.016,1.016,0.0009852217,2019-08-28
1.016,1.016,1.016,0.0,2019-08-29
1.018,1.018,1.018,0.0019685039,2019-08-30
1.032,1.032,1.032,0.0137524558,2019-09-06
1.041,1.041,1.041,0.0087209302,2019-09-09
1.048,1.048,1.048,0.0067243036,2019-09-10
