nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2018-03-29
1.0,1.0,1.0,0.0,2018-03-30
1.0,1.0,1.0,0.0,2018-04-04
1.015,1.015,1.015,0.015,2018-04-13
1.006,1.006,1.006,-0.0088669951,2018-04-20
1.005,1.005,1.005,-0.0009940358,2018-04-27
1.001,1.001,1.001,-0.0039800995,2018-05-04
1.006,1.006,1.006,0.004995005,2018-05-11
1.009,1.009,1.009,0.0029821074,2018-05-18
1.011,1.011,1.011,0.0019821606,2018-05-25
0.999,0.999,0.999,-0.0118694362,2018-05-31
0.999,0.999,0.999,0.0,2018-06-01
1.011,1.011,1.011,0.012012012,2018-06-08
1.016,1.016,1.016,0.0049455984,2018-06-15
1.022,1.022,1.022,0.0059055118,2018-06-22
1.019,1.019,1.019,-0.0029354207,2018-06-29
1.008,1.008,1.008,-0.010794897,2018-07-06
1.025,1.025,1.025,0.0168650794,2018-07-13
1.029,1.029,1.029,0.003902439,2018-07-20
1.036,1.036,1.036,0.0068027211,2018-07-27
1.039,1.039,1.039,0.0028957529,2018-07-31
1.028,1.028,1.028,-0.010587103,2018-08-03
1.029,1.029,1.029,0.0009727626,2018-08-10
1.027,1.027,1.027,-0.0019436346,2018-08-17
1.028,1.028,1.028,0.0009737098,2018-08-24
1.017,1.017,1.017,-0.0107003891,2018-08-31
1.015,1.015,1.015,-0.0019665683,2018-09-07
1.012,1.012,1.012,-0.002955665,2018-09-14
1.016,1.016,1.016,0.0039525692,2018-09-21
1.011,1.011,1.011,-0.0049212598,2018-09-28
0.996,0.996,0.996,-0.0148367953,2018-10-12
0.991,0.991,0.991,-0.0050200803,2018-10-19
0.986,0.986,0.986,-0.0050454087,2018-10-26
0.991,0.991,0.991,0.0050709939,2018-10-31
1.01,1.01,1.01,0.019172553,2018-11-02
1.004,1.004,1.004,-0.0059405941,2018-11-09
1.041,1.041,1.041,0.0368525896,2018-11-16
1.01,1.01,1.01,-0.0297790586,2018-11-23
1.016,1.016,1.016,0.0059405941,2018-11-30
1.011,1.011,1.011,-0.0049212598,2018-12-07
1.002,1.002,1.002,-0.0089020772,2018-12-14
0.988,0.988,0.988,-0.0139720559,2018-12-21
0.993,0.993,0.993,0.0050607287,2018-12-28
0.988,0.988,0.988,-0.0050352467,2019-01-04
0.996,0.996,0.996,0.008097166,2019-01-11
0.999,0.999,0.999,0.0030120482,2019-01-18
1.005,1.005,1.005,0.006006006,2019-01-25
1.004,1.004,1.004,-0.0009950249,2019-01-31
1.012,1.012,1.012,0.0079681275,2019-02-01
1.032,1.032,1.032,0.0197628458,2019-02-15
1.065,1.065,1.065,0.0319767442,2019-02-22
1.087,1.087,1.087,0.020657277,2019-02-28
1.106,1.106,1.106,0.0174793008,2019-03-01
1.126,1.126,1.126,0.0180831826,2019-03-08
1.145,1.145,1.145,0.0168738899,2019-03-15
1.176,1.176,1.176,0.0270742358,2019-03-22
1.204,1.204,1.204,0.0238095238,2019-03-29
1.252,1.252,1.252,0.0398671096,2019-04-04
1.241,1.241,1.241,-0.0087859425,2019-04-12
1.243,1.243,1.243,0.0016116035,2019-04-19
1.181,1.181,1.181,-0.0498793242,2019-04-26
1.178,1.178,1.178,-0.0025402202,2019-04-30
1.156,1.156,1.156,-0.0186757216,2019-05-10
1.14,1.14,1.14,-0.0138408304,2019-05-17
1.114,1.114,1.114,-0.0228070175,2019-05-24
1.142,1.142,1.142,0.0251346499,2019-05-31
1.123,1.123,1.123,-0.0166374781,2019-06-06
1.144,1.144,1.144,0.018699911,2019-06-14
1.174,1.174,1.174,0.0262237762,2019-06-21
