nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2021-11-26
1.0,1.0,1.0,0.0,2021-11-30
1.0,1.0,1.0,0.0,2021-12-03
1.0,1.0,1.0,0.0,2021-12-10
1.0,1.0,1.0,0.0,2021-12-17
1.0,1.0,1.0,0.0,2021-12-24
1.0,1.0,1.0,0.0,2021-12-31
0.999,0.999,0.999,-0.001,2022-01-07
0.998,0.998,0.998,-0.001001001,2022-01-14
1.001,1.001,1.001,0.003006012,2022-01-21
1.004,1.004,1.004,0.002997003,2022-01-28
1.005,1.005,1.005,0.0009960159,2022-02-11
1.006,1.006,1.006,0.0009950249,2022-02-18
1.01,1.01,1.01,0.0039761431,2022-02-25
1.009,1.009,1.009,-0.000990099,2022-02-28
1.011,1.011,1.011,0.0019821606,2022-03-04
1.021,1.021,1.021,0.0098911968,2022-03-11
1.02,1.02,1.02,-0.0009794319,2022-03-18
1.016,1.016,1.016,-0.0039215686,2022-03-25
1.013,1.013,1.013,-0.0029527559,2022-03-31
1.012,1.012,1.012,-0.0009871668,2022-04-01
1.012,1.012,1.012,0.0,2022-04-08
1.016,1.016,1.016,0.0039525692,2022-04-15
1.01,1.01,1.01,-0.0059055118,2022-04-22
1.022,1.022,1.022,0.0118811881,2022-04-29
1.013,1.013,1.013,-0.0088062622,2022-05-06
1.004,1.004,1.004,-0.0088845015,2022-05-13
1.003,1.003,1.003,-0.0009960159,2022-05-20
1.012,1.012,1.012,0.0089730808,2022-05-27
1.015,1.015,1.015,0.0029644269,2022-05-31
1.017,1.017,1.017,0.0019704433,2022-06-02
1.015,1.015,1.015,-0.0019665683,2022-06-10
0.987,0.987,0.987,-0.0275862069,2022-06-17
0.967,0.967,0.967,-0.0202634245,2022-06-24
0.968,0.968,0.968,0.0010341262,2022-06-30
0.969,0.969,0.969,0.0010330579,2022-07-01
0.968,0.968,0.968,-0.0010319917,2022-07-08
0.973,0.973,0.973,0.0051652893,2022-07-15
0.973,0.973,0.973,0.0,2022-07-22
0.973,0.973,0.973,0.0,2022-07-29
0.973,0.973,0.973,0.0,2022-08-05
0.97,0.97,0.97,-0.0030832477,2022-08-12
0.969,0.969,0.969,-0.0010309278,2022-08-19
0.952,0.952,0.952,-0.0175438596,2022-08-26
0.942,0.942,0.942,-0.0105042017,2022-08-31
0.942,0.942,0.942,0.0,2022-09-01
0.947,0.947,0.947,0.0053078556,2022-09-02
0.95,0.95,0.95,0.0031678986,2022-09-05
0.953,0.953,0.953,0.0031578947,2022-09-06
0.954,0.954,0.954,0.0010493179,2022-09-07
0.949,0.949,0.949,-0.0052410901,2022-09-08
0.947,0.947,0.947,-0.0021074816,2022-09-09
0.952,0.952,0.952,0.005279831,2022-09-13
0.95,0.95,0.95,-0.0021008403,2022-09-14
0.947,0.947,0.947,-0.0031578947,2022-09-15
0.947,0.947,0.947,0.0,2022-09-16
0.948,0.948,0.948,0.0010559662,2022-09-19
0.951,0.951,0.951,0.003164557,2022-09-20
0.949,0.949,0.949,-0.0021030494,2022-09-21
0.949,0.949,0.949,0.0,2022-09-22
0.945,0.945,0.945,-0.0042149631,2022-09-23
0.949,0.949,0.949,0.0042328042,2022-09-26
0.948,0.948,0.948,-0.0010537408,2022-09-27
0.945,0.945,0.945,-0.003164557,2022-09-28
0.946,0.946,0.946,0.0010582011,2022-09-29
0.947,0.947,0.947,0.0010570825,2022-09-30
0.945,0.945,0.945,-0.0021119324,2022-10-10
0.948,0.948,0.948,0.0031746032,2022-10-11
0.949,0.949,0.949,0.0010548523,2022-10-12
0.955,0.955,0.955,0.0063224447,2022-10-13
0.952,0.952,0.952,-0.0031413613,2022-10-14
0.95,0.95,0.95,-0.0021008403,2022-10-17
0.951,0.951,0.951,0.0010526316,2022-10-18
0.95,0.95,0.95,-0.0010515247,2022-10-19
0.944,0.944,0.944,-0.0063157895,2022-10-20
0.943,0.943,0.943,-0.001059322,2022-10-21
0.941,0.941,0.941,-0.0021208908,2022-10-24
0.939,0.939,0.939,-0.0021253985,2022-10-25
0.94,0.94,0.94,0.0010649627,2022-10-28
0.939,0.939,0.939,-0.0010638298,2022-10-31
0.943,0.943,0.943,0.0042598509,2022-11-04
0.934,0.934,0.934,-0.0095440085,2022-11-11
0.912,0.912,0.912,-0.0235546039,2022-11-18
0.922,0.922,0.922,0.0109649123,2022-11-25
0.926,0.926,0.926,0.0043383948,2022-11-30
0.931,0.931,0.931,0.005399568,2022-12-02
0.928,0.928,0.928,-0.0032223416,2022-12-09
0.92,0.92,0.92,-0.0086206897,2022-12-16
0.92,0.92,0.92,0.0,2022-12-23
0.93,0.93,0.93,0.0108695652,2022-12-30
0.94,0.94,0.94,0.0107526882,2023-01-06
0.945,0.945,0.945,0.0053191489,2023-01-13
0.954,0.954,0.954,0.0095238095,2023-01-20
0.949,0.949,0.949,-0.0052410901,2023-01-31
0.954,0.954,0.954,0.0052687039,2023-02-03
0.952,0.952,0.952,-0.0020964361,2023-02-10
0.946,0.946,0.946,-0.006302521,2023-02-17
0.954,0.954,0.954,0.0084566596,2023-02-24
0.954,0.954,0.954,0.0,2023-02-28
0.959,0.959,0.959,0.0052410901,2023-03-03
0.96,0.96,0.96,0.0010427529,2023-03-10
0.965,0.965,0.965,0.0052083333,2023-03-17
0.963,0.963,0.963,-0.0020725389,2023-03-24
0.963,0.963,0.963,0.0,2023-03-31
0.964,0.964,0.964,0.0010384216,2023-04-07
0.972,0.972,0.972,0.0082987552,2023-04-14
0.974,0.974,0.974,0.0020576132,2023-04-21
0.99,0.99,0.99,0.0164271047,2023-04-28
0.987,0.987,0.987,-0.003030303,2023-05-05
0.982,0.982,0.982,-0.0050658561,2023-05-12
0.989,0.989,0.989,0.0071283096,2023-05-19
0.991,0.991,0.991,0.0020222447,2023-05-26
0.989,0.989,0.989,-0.0020181635,2023-05-31
0.992,0.992,0.992,0.003033367,2023-06-02
0.993,0.993,0.993,0.0010080645,2023-06-09
0.995,0.995,0.995,0.0020140987,2023-06-16
0.993,0.993,0.993,-0.0020100503,2023-06-21
0.995,0.995,0.995,0.0020140987,2023-06-30
0.995,0.995,0.995,0.0,2023-07-07
0.992,0.992,0.992,-0.0030150754,2023-07-14
0.995,0.995,0.995,0.0030241935,2023-07-21
0.993,0.993,0.993,-0.0020100503,2023-07-28
0.989,0.989,0.989,-0.0040281974,2023-07-31
0.984,0.984,0.984,-0.0050556117,2023-08-04
0.988,0.988,0.988,0.0040650407,2023-08-11
0.99,0.99,0.99,0.0020242915,2023-08-18
0.992,0.992,0.992,0.002020202,2023-08-25
0.99,0.99,0.99,-0.002016129,2023-08-31
0.992,0.992,0.992,0.002020202,2023-09-01
0.98,0.98,0.98,-0.0120967742,2023-09-08
0.978,0.978,0.978,-0.0020408163,2023-09-15
0.975,0.975,0.975,-0.0030674847,2023-09-22
0.982,0.982,0.982,0.0071794872,2023-09-28
0.982,0.982,0.982,0.0,2023-10-13
0.974,0.974,0.974,-0.0081466395,2023-10-20
0.982,0.982,0.982,0.0082135524,2023-10-27
0.978,0.978,0.978,-0.0040733198,2023-10-31
0.976,0.976,0.976,-0.0020449898,2023-11-03
0.984,0.984,0.984,0.0081967213,2023-11-10
0.983,0.983,0.983,-0.0010162602,2023-11-17
0.976,0.976,0.976,-0.007121058,2023-11-24
0.976,0.976,0.976,0.0,2023-11-30
0.976,0.976,0.976,0.0,2023-12-01
0.975,0.975,0.975,-0.0010245902,2023-12-08
0.972,0.972,0.972,-0.0030769231,2023-12-15
0.971,0.971,0.971,-0.0010288066,2023-12-22
0.978,0.978,0.978,0.0072090628,2023-12-29
0.977,0.977,0.977,-0.0010224949,2024-01-05
0.98,0.98,0.98,0.0030706244,2024-01-12
0.981,0.981,0.981,0.0010204082,2024-01-19
0.987,0.987,0.987,0.006116208,2024-01-26
0.99,0.99,0.99,0.0030395137,2024-01-31
0.996,0.996,0.996,0.0060606061,2024-02-02
0.983,0.983,0.983,-0.0130522088,2024-02-08
0.99,0.99,0.99,0.007121058,2024-02-23
0.98,0.98,0.98,-0.0101010101,2024-02-29
0.979,0.979,0.979,-0.0010204082,2024-03-01
0.975,0.975,0.975,-0.0040858018,2024-03-08
0.977,0.977,0.977,0.0020512821,2024-03-15
0.984,0.984,0.984,0.0071647902,2024-03-22
0.977,0.977,0.977,-0.0071138211,2024-03-29
0.976,0.976,0.976,-0.0010235415,2024-04-03
0.979,0.979,0.979,0.0030737705,2024-04-12
0.974,0.974,0.974,-0.0051072523,2024-04-19
0.973,0.973,0.973,-0.001026694,2024-04-26
0.972,0.972,0.972,-0.0010277492,2024-04-30
0.984,0.984,0.984,0.012345679,2024-05-10
0.985,0.985,0.985,0.0010162602,2024-05-17
0.989,0.989,0.989,0.0040609137,2024-05-24
0.985,0.985,0.985,-0.0040444894,2024-05-31
0.984,0.984,0.984,-0.0010152284,2024-06-07
0.979,0.979,0.979,-0.0050813008,2024-06-14
0.973,0.973,0.973,-0.0061287028,2024-06-21
0.985,0.985,0.985,0.0123329908,2024-06-28
0.979,0.979,0.979,-0.0060913706,2024-07-05
0.974,0.974,0.974,-0.0051072523,2024-07-12
0.967,0.967,0.967,-0.0071868583,2024-07-19
0.966,0.966,0.966,-0.0010341262,2024-07-26
0.965,0.965,0.965,-0.0010351967,2024-07-31
0.965,0.965,0.965,0.0,2024-08-02
0.963,0.963,0.963,-0.0020725389,2024-08-09
0.955,0.955,0.955,-0.0083073728,2024-08-16
0.954,0.954,0.954,-0.0010471204,2024-08-23
0.957,0.957,0.957,0.0031446541,2024-08-30
0.957,0.957,0.957,0.0,2024-09-06
0.953,0.953,0.953,-0.0041797283,2024-09-13
0.953,0.953,0.953,0.0,2024-09-20
0.948,0.948,0.948,-0.0052465897,2024-09-27
0.958,0.958,0.958,0.0105485232,2024-09-30
0.945,0.945,0.945,-0.0135699374,2024-10-11
0.956,0.956,0.956,0.0116402116,2024-10-18
0.97,0.97,0.97,0.0146443515,2024-10-25
0.965,0.965,0.965,-0.0051546392,2024-10-31
0.958,0.958,0.958,-0.007253886,2024-11-01
0.972,0.972,0.972,0.0146137787,2024-11-08
0.975,0.975,0.975,0.0030864198,2024-11-15
0.984,0.984,0.984,0.0092307692,2024-11-22
0.996,0.996,0.996,0.012195122,2024-11-29
1.003,1.003,1.003,0.0070281124,2024-12-06
1.02,1.02,1.02,0.0169491525,2024-12-13
1.018,1.018,1.018,-0.0019607843,2024-12-20
1.017,1.017,1.017,-0.0009823183,2024-12-27
1.013,1.013,1.013,-0.0039331367,2024-12-31
1.013,1.013,1.013,0.0,2025-01-03
1.022,1.022,1.022,0.0088845015,2025-01-10
1.033,1.033,1.033,0.0107632094,2025-01-17
1.041,1.041,1.041,0.0077444337,2025-01-24
1.038,1.038,1.038,-0.0028818444,2025-01-27
1.044,1.044,1.044,0.0057803468,2025-02-07
1.044,1.044,1.044,0.0,2025-02-14
1.055,1.055,1.055,0.0105363985,2025-02-21
1.05,1.05,1.05,-0.0047393365,2025-02-28
1.065,1.065,1.065,0.0142857143,2025-03-07
1.06,1.06,1.06,-0.0046948357,2025-03-14
1.054,1.054,1.054,-0.0056603774,2025-03-21
1.05,1.05,1.05,-0.0037950664,2025-03-28
1.05,1.05,1.05,0.0,2025-03-31
1.056,1.056,1.056,0.0057142857,2025-04-03
1.051,1.051,1.051,-0.0047348485,2025-04-11
1.047,1.047,1.047,-0.0038058991,2025-04-18
1.058,1.058,1.058,0.0105062082,2025-04-25
1.06,1.06,1.06,0.0018903592,2025-04-30
1.07,1.07,1.07,0.0094339623,2025-05-09
1.074,1.074,1.074,0.0037383178,2025-05-16
1.071,1.071,1.071,-0.0027932961,2025-05-23
1.073,1.073,1.073,0.0018674136,2025-05-30
1.084,1.084,1.084,0.0102516309,2025-06-06
1.082,1.082,1.082,-0.0018450185,2025-06-13
1.077,1.077,1.077,-0.0046210721,2025-06-20
1.096,1.096,1.096,0.017641597,2025-06-27
1.101,1.101,1.101,0.0045620438,2025-06-30
1.104,1.104,1.104,0.0027247956,2025-07-04
1.104,1.104,1.104,0.0,2025-07-11
1.109,1.109,1.109,0.0045289855,2025-07-18
1.123,1.123,1.123,0.0126239856,2025-07-25
1.116,1.116,1.116,-0.0062333037,2025-07-31
1.124,1.124,1.124,0.0071684588,2025-08-01
1.142,1.142,1.142,0.0160142349,2025-08-08
1.146,1.146,1.146,0.003502627,2025-08-15
1.152,1.152,1.152,0.0052356021,2025-08-22
